"time","fdt.y"
32.8125,14.84450494514769
32.875,14.916776903127401
32.9375,14.987292684732358
33,15.056094334405948
33.0625,15.12322393348589
33.125,15.188722113724168
33.1875,15.252628521847043
33.25,15.31498179044454
33.3125,15.375819546961594
33.375,15.435178656387523
33.4375,15.493095036226315
33.5,15.549603745197361
33.5625,15.604738949483698
33.625,15.658534065754417
33.6875,15.711021716499431
33.75,15.762233762532434
33.8125,15.812201160439962
33.875,15.860953963870712
33.9375,15.90852189248543
34,15.954933816102333
34.0625,16.000217932822196
34.125,16.044401401840627
34.1875,16.08751112687585
34.25,16.129573275567996
34.3125,16.170613377011556
34.375,16.21065620688374
34.4375,16.24972582697484
34.5,16.287845986937445
34.5625,16.32503973874451
34.625,16.361329570318887
34.6875,16.396737371956085
34.75,16.431284550695686
34.8125,16.464991976031005
34.875,16.49788000979952
34.9375,16.529968570687718
35,16.56127713033093
35.0625,16.59182463367989
35.125,16.621629622292094
35.1875,16.65071021782082
35.25,16.679083848934244
35.3125,16.70676786701524
35.375,16.73377911554036
35.4375,16.76013405720366
35.5,16.78584858954016
35.5625,16.810938180995382
35.625,16.835418181361447
35.6875,16.85930346030139
35.75,16.882608523738227
35.8125,16.905347194705413
35.875,16.92753332965646
35.9375,16.94918029557786
36,16.970301113277007
36.0625,16.99090856126645
36.125,17.01101510440337
36.1875,17.030632795515164
36.25,17.049773436390595
36.3125,17.06844855789856
36.375,17.086669776490318
36.4375,17.104448027065267
36.5,17.121794165526175
36.5625,17.13871881610877
36.625,17.155231944965724
36.6875,17.171343784802733
36.75,17.18706417221583
36.8125,17.20240272253027
36.875,17.217368448559583
36.9375,17.231970543107902
37,17.24621782282321
37.0625,17.260118890131707
37.125,17.27368215388992
37.1875,17.286915754937677
37.25,17.29982763743914
37.3125,17.31242567419862
37.375,17.324717493404307
37.4375,17.336710507891556
37.5,17.348411990053062
37.5625,17.35982904100074
37.625,17.370968620418065
37.6875,17.381837537774228
37.75,17.392442298540967
37.8125,17.402789350915437
37.875,17.412884990841064
37.9375,17.422735317010098
38,17.432346261549466
38.0625,17.441723623527608
38.125,17.450873058447304
38.1875,17.45980014098525
38.25,17.468510234852488
38.3125,17.477008599621517
38.375,17.48530040413972
38.4375,17.49339066914811
38.5,17.50128431454404
38.5625,17.508986101910878
38.625,17.51650070294252
38.6875,17.52383269224412
38.75,17.53098650751582
38.8125,17.537966460399858
38.875,17.54477678474169
38.9375,17.551421598190604
39,17.55790492647226
39.0625,17.56423068162867
39.125,17.57040268178039
39.1875,17.57642467835348
39.25,17.582300309260816
39.3125,17.588033133426393
39.375,17.59362661987153
39.4375,17.599084157783356
39.5,17.604409060923413
39.5625,17.6096045547023
39.625,17.61467377438086
39.6875,17.61961979871956
39.75,17.624445623998724
39.8125,17.629154164531997
39.875,17.633748271617183
39.9375,17.638230723055184
40,17.642604234828863
40.0625,17.64687145190584
40.125,17.651034955832973
40.1875,17.655097267086074
40.25,17.659060846025966
40.3125,17.662928094267343
40.375,17.666701354129373
40.4375,17.67038290601368
40.5,17.673974983780578
40.5625,17.67747976479417
40.625,17.68089936459572
40.6875,17.684235856656898
40.75,17.68749126108745
40.8125,17.69066754728453
40.875,17.69376663755693
40.9375,17.696790407542036
41,17.699740687414362
41.0625,17.70261926325153
41.125,17.705427877995795
41.1875,17.708168232270896
41.25,17.710841983605942
41.3125,17.71345075262675
41.375,17.71599612035613
41.4375,17.718479624160402
41.5,17.72090276985952
41.5625,17.72326702533149
41.625,17.725573820501825
41.6875,17.7278245516177
41.75,17.730020581773264
41.8125,17.732163240116616
41.875,17.734253823174353
41.9375,17.736293596914944
42,17.73828379629012
42.0625,17.740225625259285
42.125,17.742120260196312
42.1875,17.74396884888272
42.25,17.74577250872184
42.3125,17.7475323327026
42.375,17.74924938695705
42.4375,17.750924710219923
42.5,17.75255931640548
42.5625,17.754154195831465
42.625,17.75571031393922
42.6875,17.757228611985457
42.75,17.758710009672367
42.8125,17.760155403973656
42.875,17.7615656690887
42.9375,17.762941659295407
43,17.764284207972747
43.0625,17.765594127044903
43.125,17.766872209902388
43.1875,17.768119230777295
43.25,17.769335944252546
43.3125,17.77052308658732
43.375,17.77168137706793
43.4375,17.772811516967128
43.5,17.773914189733233
43.5625,17.774990063443035
43.625,17.776039789636428
43.6875,17.777064003041737
43.75,17.778063324138014
43.8125,17.779038358130812
43.875,17.77998969480844
43.9375,17.780917910203453
44,17.781823566575557
44.0625,17.782707212043725
44.125,17.783569381252462
44.1875,17.784410596572698
44.25,17.78523136736871
44.3125,17.786032189951197
44.375,17.78681354954853
44.4375,17.78757591941178
44.5,17.788319760435314
44.5625,17.789045523285225
44.625,17.789753647497456
44.6875,17.790444561466533
44.75,17.791118683445635
44.8125,17.791776421784252
44.875,17.792418174608756
44.9375,17.793044330157127
45,17.793655267791966
45.0625,17.79425135747237
45.125,17.794832959628398
45.1875,17.795400426658418
45.25,17.795954102275555
45.3125,17.796494321235993
45.375,17.797021410793118
45.4375,17.797535690184944
45.5,17.79803747057804
45.5625,17.798527055670124
45.625,17.79900474204234
45.6875,17.799470818869505
45.75,17.799925568073306
45.8125,17.800369265166804
45.875,17.800802178853356
45.9375,17.801224570884475
46,17.80163669718581
46.0625,17.80203880737466
46.125,17.80243114462127
46.1875,17.802813946534805
46.25,17.803187444982754
46.3125,17.80355186598443
46.375,17.803907430061333
46.4375,17.804254352618774
46.5,17.804592843694984
46.5625,17.804923108010257
46.625,17.80524534566049
46.6875,17.80555975180634
46.75,17.805866516535357
46.8125,17.806165825712018
46.875,17.806457860616703
46.9375,17.806742797888642
47,17.807020810051334
47.0625,17.807292065509916
47.125,17.807556728435518
47.1875,17.807814958956534
47.25,17.80806691351879
47.3125,17.80831274467981
47.375,17.808552601101482
47.4375,17.808786628107224
47.5,17.809014967443222
47.5625,17.809237757153422
47.625,17.809455132221814
47.6875,17.809667224300735
47.75,17.80987416169859
47.8125,17.810076069684097
47.875,17.810273070568137
47.9375,17.810465283596628
48,17.81065282504653
48.0625,17.810835808540755
48.125,17.81101434488569
48.1875,17.81118854203719
48.25,17.811358505538543
48.3125,17.8115243383335
48.375,17.81168614069242
48.4375,17.811844010627087
48.5,17.811998043755462
48.5625,17.81214833327748
48.625,17.812294970152145
48.6875,17.812438043211998
48.75,17.812577639070483
48.8125,17.812713842163244
48.875,17.81284673501119
48.9375,17.812976398094975
49,17.813102909811686
49.0625,17.813226346813142
49.125,17.813346783861324
49.1875,17.813464293792393
49.25,17.813578947770058
49.3125,17.813690815241795
49.375,17.813799963862348
49.4375,17.81390645961729
49.5,17.814010366982046
49.5625,17.81411174882661
49.625,17.81421066649942
49.6875,17.814307179870557
49.75,17.814401347614744
49.8125,17.814493230384134
49.875,17.814582881511413
49.9375,17.81467035514807
50,17.814755703931606
50,17.814755703931606
